NOME,QoE,TempoJogo,UsoCpu,UsoRam,UsoGpu,UsoVram,DelayVideo,DelayComandos,JitterVideo,JitterComandos,PerdaVideo,PerdaComandos,Jogo,TerminoPartida,JogariaNovamente,EstadoEspirito,IDADE,GENERO,CURSO,HORASJOGASEMANA,RESOLUCAO,FREQUENCIA,QUALJAJOGOU,TEMPOQUALJAJOGOU,MOUSEMANETEVR
Player 1,6,3.0,73.0,30.0,8.0,9.0,125,0,0,0,0.0,0.0,Half-Life 2,17.32,,,,,,,,,,,
Player 10,4,3.0,40.0,14.0,9.0,9.0,0,50,0,20,0.0,2.5,Half-Life 2,20.7,SIM,Indiferente,23.0,M,Sistemas de Informação,0.0,1080p,60.0,Nenhum,0.0,Nenhum
Player 44,6,,,,,,40,35,30,0,0.0,0.0,Rise of Tomb Raider,21.44,SIM,Indiferente,,,,,,,,,
Player 1,0,,,,,,30,0,10,0,2.5,0.0,Spelunky,17.03,NAO,Indiferente,,,,,,,,,
Player 81,6,,,,,,15,0,0,0,2.0,0.0,Spelunky,16.56,SIM,Feliz,,,,,,,,,
Player 1,5,3.0,61.0,32.0,28.0,23.0,50,0,20,0,3.0,0.0,Half-Life 2,14.06,,,,,,,,,,,
Player 1,2,3.0,36.0,15.0,8.0,9.0,50,0,15,0,1.5,0.0,Half-Life 2,20.42,,,,,,,,,,,
Player 44,3,3.0,22.0,16.0,19.0,14.0,75,0,0,0,0.5,0.0,FEAR,16.4,SIM,Indiferente,28.0,M,Doutorado Ciências da Computação,8.0,1080p,144.0,Nenhum,0.0,Mouse
Player 3,6,3.0,38.0,13.0,9.0,9.0,125,0,15,0,0.0,0.0,Half-Life 2,16.52,,,,,,,,,,,
Player 1,4,3.0,36.0,15.0,9.0,10.0,0,75,0,0,0.0,1.5,Half-Life 2,17.13,,,,,,,,,,,
Player 4,6,4.0,27.0,14.0,8.0,8.0,0,75,0,20,0.0,0.5,Spelunky,17.38,,,,,,,,,,,
Player 1,4,,,,,,0,15,0,10,0.0,1.5,Spelunky,17.47,SIM,Indiferente,,,,,,,,,
Player 3,4,3.0,38.0,14.0,8.0,9.0,25,25,15,5,0.5,0.5,Half-Life 2,14.56,,,,,,,,,,,
Player 1,6,3.0,38.0,15.0,8.0,9.0,50,50,20,15,0.0,0.0,Half-Life 2,14.12,,,,,,,,,,,
Player 1,6,4.0,78.0,28.0,33.0,29.0,0,25,0,10,0.0,0.0,Half-Life 2,20.13,,,,,,,,,,,
Player 1,6,3.0,67.0,33.0,24.0,21.0,75,0,25,0,0.0,0.0,Half-Life 2,15.53,,,,,,,,,,,
Player 1,6,,,,,,0,15,0,0,0.0,2.0,Rise of Tomb Raider,19.52,SIM,Indiferente,,,,,,,,,
Player 83,0,,,,,,0,2,0,15,0.0,2.0,Rise of Tomb Raider,19.38,SIM,Feliz,,,,,,,,,
Player 1,3,3.0,24.0,16.0,17.0,12.0,0,75,0,25,0.0,3.0,FEAR,13.14,,,,,,,,,,,
Player 3,1,3.0,37.0,15.0,9.0,9.0,0,75,0,20,0.0,2.5,Half-Life 2,17.43,,,,,,,,,,,
Player 1,6,3.0,28.0,12.0,9.0,9.0,125,25,15,15,0.0,0.0,Spelunky,13.46,,,,,,,,,,,
Player 3,2,3.0,41.0,15.0,9.0,9.0,50,25,25,5,2.0,2.0,Half-Life 2,14.11,,,,,,,,,,,
Player 3,0,3.0,34.0,15.0,8.0,8.0,150,50,5,20,2.5,2.5,Half-Life 2,14.04,,,,,,,,,,,
Player 3,4,3.0,44.0,21.0,9.0,9.0,25,100,5,20,2.5,2.5,Half-Life 2,13.02,,,,,,,,,,,
Player 1,5,3.0,62.0,17.0,23.0,20.0,0,150,0,20,0.0,0.0,Half-Life 2,21.54,,,,,,,,,,,
Player 3,3,3.0,39.0,14.0,10.0,10.0,50,50,15,25,0.0,2.5,Half-Life 2,18.43,,,,,,,,,,,
Player 74,4,,,,,,10,15,15,12,0.0,0.0,Rise of Tomb Raider,16.2,SIM,Indiferente,,,,,,,,,
Player 3,1,3.0,34.0,13.0,9.0,9.0,125,75,10,15,3.0,3.0,Half-Life 2,16.55,,,,,,,,,,,
Player 19,4,3.0,39.0,14.0,9.0,10.0,125,125,0,20,0.5,0.5,Half-Life 2,,SIM,Triste,19.0,M,Física,3.0,1080p,60.0,Nenhum,0.0,Mouse
Player 3,4,3.0,39.0,15.0,9.0,9.0,25,0,25,0,0.5,0.0,Half-Life 2,19.11,,,,,,,,,,,
Player 3,5,3.0,73.0,18.0,26.0,23.0,50,0,0,0,3.0,0.0,Half-Life 2,19.22,,,,,,,,,,,
Player 3,2,3.0,47.0,22.0,9.0,9.0,0,75,0,25,0.0,0.5,Half-Life 2,13.08,,,,,,,,,,,
Player 74,6,,,,,,0,0,0,0,0.0,20.0,Rise of Tomb Raider,17.58,SIM,Indiferente,,,,,,,,,
Player 3,4,3.0,38.0,14.0,9.0,9.0,0,50,0,0,0.0,1.0,Half-Life 2,18.37,,,,,,,,,,,
Player 1,5,3.0,40.0,15.0,8.0,9.0,125,0,5,0,0.0,0.0,Half-Life 2,17.12,,,,,,,,,,,
Player 1,3,3.0,74.0,80.0,9.0,9.0,150,0,5,0,1.5,0.0,Spelunky,16.36,,,,,,,,,,,
Player 1,2,3.0,73.0,28.0,9.0,9.0,50,0,5,0,3.0,0.0,Half-Life 2,17.03,,,,,,,,,,,
Player 1,2,3.0,36.0,14.0,9.0,9.0,0,125,0,5,0.0,2.0,Half-Life 2,23.19,,,,,,,,,,,
Player 74,2,,,,,,20,0,20,0,10.0,0.0,Rise of Tomb Raider,12.48,NAO,Indiferente,,,,,,,,,
Player 3,5,3.0,39.0,14.0,9.0,9.0,50,0,20,0,2.5,0.0,Half-Life 2,22.36,,,,,,,,,,,
Player 3,4,3.0,25.0,13.0,6.0,7.0,50,100,0,15,1.0,1.0,Half-Life 2,19.06,,,,,,,,,,,
Player 1,5,3.0,73.0,28.0,9.0,9.0,0,25,0,5,0.0,2.0,Half-Life 2,17.00,,,,,,,,,,,
Player 84,1,,,,,,20,15,12,15,3.0,3.0,Rise of Tomb Raider,11.07,NAO,Indiferente,,,,,,,,,
Player 19,6,3.0,18.0,14.0,9.0,9.0,125,50,25,15,2.5,2.5,Spelunky,16.9,SIM,Feliz,19.0,M,Física,3.0,1080p,60.0,Nenhum,0.0,Mouse
Player 1,3,3.0,36.0,15.0,9.0,9.0,150,0,0,0,2.0,0.0,Half-Life 2,20.15,,,,,,,,,,,
Player 1,5,,,,,,20,50,10,15,0.0,0.0,Spelunky,17.21,SIM,Indiferente,,,,,,,,,
Player 65,3,3.0,27.0,16.0,12.0,12.0,0,100,0,20,0.0,2.0,Half-Life 2,13.5,NAO,Indiferente,21.0,F,Matemática Computacional,8.0,-1080p,60.0,Nenhum,0.0,Mouse
Player 84,6,,,,,,25,10,0,15,10.0,10.0,Rise of Tomb Raider,11.05,SIM,Indiferente,,,,,,,,,
Player 3,4,3.0,52.0,16.0,37.0,32.0,100,50,0,20,1.5,1.5,Half-Life 2,18.51,,,,,,,,,,,
Player 5,4,,,,,,30,0,20,0,10.0,0.0,Rise of Tomb Raider,16.3,NAO,Indiferente,,,,,,,,,
Player 1,5,3.0,28.0,15.0,8.0,8.0,100,75,0,5,3.0,3.0,Spelunky,14.10,,,,,,,,,,,
Player 3,3,3.0,37.0,15.0,9.0,10.0,75,0,0,0,1.0,0.0,Half-Life 2,18.10,,,,,,,,,,,
Player 5,3,3.0,39.0,14.0,9.0,9.0,25,50,5,5,2.0,2.0,Half-Life 2,17.14,,,,,,,,,,,
Player 3,5,3.0,37.0,15.0,8.0,9.0,0,150,0,10,0.0,0.0,Half-Life 2,13.58,,,,,,,,,,,
Player 1,1,3.0,37.0,15.0,9.0,9.0,125,0,15,0,0.5,0.0,Half-Life 2,20.16,,,,,,,,,,,
Player 5,3,3.0,48.0,13.0,26.0,23.0,50,50,0,20,0.0,0.0,Half-Life 2,18.15,,,,,,,,,,,
Player 5,3,3.0,47.0,14.0,27.0,23.0,125,0,0,0,2.0,0.0,Half-Life 2,19.52,,,,,,,,,,,
Player 37,0,3.0,39.0,14.0,10.0,10.0,0,150,0,20,0.0,1.5,Half-Life 2,10.6,SIM,Feliz,53.0,F,Farmácia,8.0,1080p,60.0,Nenhum,0.0,Mouse e Manete
Player 1,5,3.0,36.0,16.0,8.0,8.0,150,25,5,25,0.0,0.0,Half-Life 2,17.25,,,,,,,,,,,
Player 14,4,4.0,33.0,13.0,9.0,9.0,0,125,0,10,0.0,2.5,Half-Life 2,,SIM,Indiferente,23.0,M,Sistemas de Informação,4.0,1080p,60.0,Nenhum,0.0,Mouse e Manete
Player 3,2,3.0,37.0,15.0,9.0,9.0,75,0,15,0,1.0,0.0,Half-Life 2,16.27,,,,,,,,,,,
Player 1,0,3.0,34.0,15.0,9.0,9.0,0,150,0,20,0.0,0.5,Half-Life 2,16.51,,,,,,,,,,,
Player 10,3,3.0,39.0,12.0,10.0,10.0,50,0,10,0,1.0,0.0,Half-Life 2,20.8,NAO,Feliz,23.0,M,Sistemas de Informação,0.0,1080p,60.0,Nenhum,0.0,Nenhum
Player 3,2,3.0,38.0,14.0,9.0,9.0,75,50,20,15,2.0,2.0,Half-Life 2,15.27,,,,,,,,,,,
Player 1,6,3.0,37.0,15.0,9.0,9.0,100,0,15,0,0.0,0.0,Half-Life 2,17.50,,,,,,,,,,,
Player 74,0,,,,,,30,0,10,0,10.0,0.0,Rise of Tomb Raider,16.01,SIM,Indiferente,,,,,,,,,
Player 1,0,3.0,79.0,58.0,9.0,9.0,0,125,0,15,0.0,2.0,Half-Life 2,14.14,,,,,,,,,,,
Player 3,2,3.0,53.0,23.0,9.0,10.0,50,0,15,0,3.0,0.0,Half-Life 2,13.26,,,,,,,,,,,
Player 3,4,3.0,25.0,13.0,6.0,7.0,100,50,0,25,2.5,2.5,Half-Life 2,19.01,,,,,,,,,,,
Player 3,3,3.0,55.0,16.0,37.0,32.0,0,100,0,20,0.0,2.5,Half-Life 2,17.45,,,,,,,,,,,
Player 5,5,3.0,53.0,25.0,26.0,23.0,50,25,10,25,0.0,0.0,Half-Life 2,17.07,,,,,,,,,,,
Player 1,4,3.0,47.0,15.0,26.0,23.0,50,50,5,15,2.0,2.0,Half-Life 2,18.16,,,,,,,,,,,
Player 3,4,3.0,47.0,15.0,39.0,33.0,0,75,0,20,0.0,0.0,Half-Life 2,17.47,,,,,,,,,,,
Player 81,2,,,,,,23,25,15,0,0.0,4.0,Spelunky,13.43,NAO,Indiferente,,,,,,,,,
Player 5,5,,,,,,20,15,0,0,10.0,10.0,Rise of Tomb Raider,13.17,SIM,Indiferente,,,,,,,,,
Player 1,5,3.0,36.0,16.0,9.0,9.0,0,75,0,15,0.0,0.0,Spelunky,18.24,,,,,,,,,,,
Player 3,3,4.0,28.0,18.0,19.0,15.0,25,0,10,0,0.5,0.0,FEAR,18.17,,,,,,,,,,,
Player 1,6,3.0,74.0,45.0,22.0,19.0,100,50,15,25,0.0,0.0,Half-Life 2,17.41,,,,,,,,,,,
Player 1,5,,,,,,10,2,15,10,0.0,3.0,Spelunky,17.45,SIM,Indiferente,,,,,,,,,
Player 1,0,4.0,42.0,31.0,9.0,9.0,150,0,5,0,3.0,0.0,Spelunky,14.41,,,,,,,,,,,
Player 37,5,3.0,39.0,15.0,10.0,10.0,50,125,25,15,1.5,1.5,Half-Life 2,10.3,SIM,Feliz,53.0,F,Farmácia,8.0,1080p,60.0,Nenhum,0.0,Mouse e Manete
Player 3,2,3.0,35.0,14.0,8.0,9.0,150,0,15,0,0.5,0.0,Half-Life 2,16.14,,,,,,,,,,,
Player 1,0,,,,,,30,0,15,0,1.5,0.0,Spelunky,17.31,NAO,Indiferente,,,,,,,,,
Player 1,6,3.0,70.0,33.0,24.0,21.0,0,125,0,0,0.0,2.5,Half-Life 2,15.58,,,,,,,,,,,
Player 44,5,,,,,,0,0,0,0,0.0,3.0,Rise of Tomb Raider,14.21,SIM,Indiferente,,,,,,,,,
Player 74,5,3.0,16.0,13.0,8.0,8.0,0,125,0,5,0.0,0.5,Spelunky,14.1,SIM,Feliz,20.0,M,Engenharia de Controle e Automação,2.0,1080p,60.0,Nenhum,0.0,Celular
Player 74,0,,,,,,30,0,20,0,10.0,0.0,Rise of Tomb Raider,16.24,NAO,Indiferente,,,,,,,,,
Player 1,6,3.0,58.0,20.0,25.0,22.0,25,0,25,0,1.5,0.0,Half-Life 2,18.33,,,,,,,,,,,
Player 81,5,,,,,,15,0,15,0,0.0,10.0,Spelunky,11.53,SIM,Indiferente,,,,,,,,,
Player 74,0,,,,,,0,30,0,30,0.0,10.0,Rise of Tomb Raider,17.3,NAO,Indiferente,,,,,,,,,
Player 44,0,,,,,,40,40,30,30,20.0,20.0,Rise of Tomb Raider,22.08,NAO,Indiferente,,,,,,,,,
Player 74,1,,,,,,0,25,0,20,0.0,3.0,Rise of Tomb Raider,12.41,NAO,Indiferente,,,,,,,,,
Player 44,6,,,,,,2,0,15,0,3.0,0.0,Rise of Tomb Raider,14.0,SIM,Indiferente,,,,,,,,,
Player 3,2,3.0,55.0,23.0,8.0,9.0,100,0,5,0,2.5,0.0,Half-Life 2,13.28,,,,,,,,,,,
Player 81,5,,,,,,25,28,0,15,5.0,5.0,Spelunky,13.33,SIM,Indiferente,,,,,,,,,
Player 3,0,3.0,72.0,18.0,25.0,22.0,125,50,5,0,2.5,2.5,Half-Life 2,19.27,,,,,,,,,,,
Player 10,4,3.0,39.0,15.0,10.0,10.0,75,0,0,0,2.5,0.0,Half-Life 2,,SIM,Feliz,23.0,M,Sistemas de Informação,0.0,1080p,60.0,Nenhum,0.0,Nenhum
Player 3,6,3.0,71.0,27.0,9.0,9.0,25,0,15,0,2.5,0.0,Half-Life 2,16.33,,,,,,,,,,,
Player 44,2,3.0,28.0,14.0,9.0,9.0,125,25,20,25,2.0,2.0,Spelunky,18.5,NAO,Indiferente,28.0,M,Doutorado Ciências da Computação,8.0,1080p,144.0,Nenhum,0.0,Mouse
Player 1,2,3.0,63.0,17.0,23.0,20.0,100,0,20,0,1.0,0.0,Half-Life 2,21.56,,,,,,,,,,,
Player 3,2,3.0,32.0,14.0,9.0,9.0,0,100,0,5,0.0,1.0,Half-Life 2,16.57,,,,,,,,,,,
Player 1,5,3.0,29.0,14.0,8.0,9.0,50,0,25,0,0.5,0.0,Spelunky,18.50,,,,,,,,,,,
Player 5,3,3.0,40.0,14.0,10.0,10.0,50,0,25,0,2.5,0.0,Half-Life 2,15.11,,,,,,,,,,,
Player 74,5,,,,,,40,40,0,30,10.0,10.0,Rise of Tomb Raider,14.15,SIM,Indiferente,,,,,,,,,
Player 5,3,,,,,,2,35,40,25,5.0,0.0,Rise of Tomb Raider,15.3,SIM,Indiferente,,,,,,,,,
Player 75,2,3.0,22.0,14.0,12.0,12.0,150,0,15,0,0.0,0.0,Half-Life 2,14.4,SIM,Feliz,19.0,M,Engenharia Ambiental,-1.0,1080p,60.0,Nenhum,0.0,Mouse
Player 10,4,3.0,37.0,14.0,9.0,9.0,125,0,10,0,3.0,0.0,Half-Life 2,15.8,NAO,Indiferente,23.0,M,Sistemas de Informação,0.0,1080p,60.0,Nenhum,0.0,Nenhum
Player 44,6,,,,,,35,30,40,30,5.0,0.0,Rise of Tomb Raider,20.27,SIM,Indiferente,,,,,,,,,
Player 3,3,3.0,38.0,14.0,8.0,9.0,50,25,20,10,1.5,1.5,Half-Life 2,17.08,,,,,,,,,,,
Player 5,4,,,,,,10,30,12,20,0.0,0.0,Rise of Tomb Raider,15.39,SIM,Indiferente,,,,,,,,,
Player 5,3,3.0,38.0,14.0,9.0,9.0,75,0,0,0,2.0,0.0,Half-Life 2,17.11,,,,,,,,,,,
Player 3,4,3.0,39.0,14.0,8.0,9.0,25,0,20,0,1.0,0.0,Half-Life 2,19.46,,,,,,,,,,,
Player 3,0,3.0,22.0,12.0,5.0,6.0,0,75,0,5,0.0,3.0,Half-Life 2,17.29,,,,,,,,,,,
Player 44,2,4.0,36.0,14.0,9.0,9.0,0,75,0,15,0.0,2.0,Half-Life 2,18.5,SIM,Indiferente,28.0,M,Doutorado Ciências da Computação,8.0,1080p,144.0,Nenhum,0.0,Mouse
Player 1,5,3.0,35.0,19.0,8.0,8.0,100,100,0,15,2.0,2.0,Spelunky,18.28,,,,,,,,,,,
Player 74,0,,,,,,0,40,0,30,0.0,10.0,Rise of Tomb Raider,14.03,NAO,Indiferente,,,,,,,,,
Player 28,5,3.0,38.0,16.0,9.0,9.0,0,25,0,0,0.0,2.0,Half-Life 2,16.5,SIM,Indiferente,22.0,M,Ciências da Computação,6.0,1080p,60.0,Nenhum,0.0,Mouse e Manete
Player 1,6,3.0,38.0,15.0,9.0,9.0,25,0,20,0,1.0,0.0,Half-Life 2,18.48,,,,,,,,,,,
Player 1,4,,,,,,10,30,10,10,0.0,2.0,Spelunky,17.22,SIM,Indiferente,,,,,,,,,
Player 74,1,,,,,,20,0,25,0,10.0,0.0,Rise of Tomb Raider,13.52,NAO,Indiferente,,,,,,,,,
Player 74,6,,,,,,40,0,0,0,20.0,0.0,Rise of Tomb Raider,17.04,SIM,Indiferente,,,,,,,,,
Player 1,6,,,,,,2,0,10,0,2.0,0.0,Spelunky,17.51,SIM,Indiferente,,,,,,,,,
Player 3,3,3.0,38.0,14.0,9.0,9.0,0,50,0,10,0.0,2.0,Half-Life 2,19.47,,,,,,,,,,,
Player 1,1,3.0,61.0,17.0,24.0,20.0,0,100,0,15,0.0,1.5,Half-Life 2,21.52,,,,,,,,,,,
Player 3,3,3.0,36.0,15.0,8.0,9.0,0,150,0,0,0.0,2.0,Half-Life 2,18.20,,,,,,,,,,,
Player 1,4,4.0,30.0,13.0,9.0,10.0,0,75,0,0,0.0,1.0,Spelunky,14.33,,,,,,,,,,,
Player 3,5,3.0,35.0,14.0,8.0,9.0,125,0,20,0,0.0,0.0,Half-Life 2,15.11,,,,,,,,,,,
Player 1,4,3.0,66.0,18.0,32.0,27.0,100,0,0,0,2.0,0.0,Half-Life 2,19.51,,,,,,,,,,,
Player 3,3,3.0,39.0,14.0,9.0,10.0,50,150,25,25,1.5,1.5,Half-Life 2,18.19,,,,,,,,,,,
Player 51,4,3.0,24.0,15.0,16.0,12.0,125,0,15,0,1.0,0.0,FEAR,10.7,SIM,Feliz,22.0,M,Engenharia Metalúrgica,8.0,1080p,60.0,Nenhum,0.0,Mouse e Manete e Celular
Player 39,5,3.0,34.0,14.0,8.0,9.0,75,0,5,0,1.5,0.0,Half-Life 2,15.8,SIM,Indiferente,22.0,F,Engenharia de Computação,8.0,1080p,60.0,Nenhum,0.0,Mouse e Manete
Player 83,1,,,,,,0,20,0,5,0.0,2.5,Rise of Tomb Raider,20.25,NAO,Feliz,,,,,,,,,
Player 1,5,3.0,31.0,13.0,9.0,9.0,0,50,0,20,0.0,1.0,Spelunky,13.51,,,,,,,,,,,
Player 1,5,3.0,60.0,57.0,9.0,9.0,100,25,0,25,0.0,3.0,Spelunky,15.15,,,,,,,,,,,
Player 83,5,,,,,,35,0,0,0,20.0,0.0,Rise of Tomb Raider,16.51,SIM,Feliz,,,,,,,,,
Player 3,4,3.0,35.0,15.0,9.0,9.0,50,0,10,0,2.0,0.0,Half-Life 2,17.16,,,,,,,,,,,
Player 20,5,3.0,19.0,17.0,10.0,10.0,150,50,20,15,1.0,1.0,FEAR,14.4,SIM,Feliz,25.0,M,Ciências da computação,5.0,-1080p,60.0,Half-Life 2,-1.0,Mouse
Player 81,3,,,,,,20,0,0,0,5.0,0.0,Spelunky,12.06,NAO,Indiferente,,,,,,,,,
Player 3,5,3.0,78.0,37.0,21.0,18.0,0,0,0,0,1.0,0.0,Half-Life 2,17.27,,,,,,,,,,,
Player 1,4,,,,,,15,10,15,10,0.0,1.5,Spelunky,18.17,SIM,Indiferente,,,,,,,,,
Player 44,5,4.0,19.0,14.0,8.0,9.0,75,0,25,0,3.0,0.0,Spelunky,17.4,SIM,Indiferente,28.0,M,Doutorado Ciências da Computação,8.0,1080p,144.0,Nenhum,0.0,Mouse
Player 1,6,3.0,74.0,80.0,10.0,9.0,50,150,15,5,1.5,1.5,Spelunky,16.26,,,,,,,,,,,
Player 54,1,4.0,24.0,15.0,12.0,11.0,150,50,15,10,2.5,2.5,Half-Life 2,14.4,NAO,Indiferente,25.0,M,Ciências da Computação,-1.0,-1080p,60.0,Nenhum,0.0,Mouse
Player 3,6,3.0,39.0,15.0,9.0,9.0,25,0,25,0,0.0,0.0,Half-Life 2,19.39,,,,,,,,,,,
Player 3,2,3.0,80.0,28.0,8.0,8.0,0,150,0,0,0.0,0.5,Half-Life 2,16.30,,,,,,,,,,,
Player 81,1,,,,,,25,25,15,20,6.0,6.0,Spelunky,11.34,NAO,Indiferente,,,,,,,,,
Player 62,5,4.0,28.0,14.0,8.0,9.0,25,50,20,10,1.5,1.5,Spelunky,17.0,SIM,Feliz,20.0,M,Sistemas de Informação,4.0,1080p,75.0,Nenhum,0.0,Mouse
Player 3,1,3.0,75.0,19.0,23.0,20.0,125,0,25,0,3.0,0.0,Half-Life 2,19.36,,,,,,,,,,,
Player 3,6,3.0,37.0,15.0,8.0,9.0,0,125,0,25,0.0,0.0,Half-Life 2,19.32,,,,,,,,,,,
Player 1,2,3.0,30.0,13.0,9.0,9.0,125,0,15,0,0.5,0.0,Spelunky,14.13,,,,,,,,,,,
Player 1,4,3.0,29.0,15.0,8.0,8.0,0,50,0,20,0.0,3.0,Spelunky,18.52,,,,,,,,,,,
Player 1,3,3.0,30.0,13.0,10.0,10.0,75,125,20,5,0.0,0.5,Spelunky,14.26,,,,,,,,,,,
Player 81,1,,,,,,25,15,20,0,4.0,4.0,Spelunky,11.35,NAO,Indiferente,,,,,,,,,
Player 36,3,3.0,25.0,15.0,17.0,13.0,150,100,20,15,2.0,2.0,FEAR,16.3,SIM,Feliz,27.0,M,Mestrado Física,-1.0,1080p,60.0,Nenhum,0.0,Manete
Player 81,5,,,,,,17,17,0,15,5.0,5.0,Spelunky,12.21,SIM,Indiferente,,,,,,,,,
Player 3,2,3.0,34.0,15.0,8.0,8.0,75,0,5,0,1.0,0.0,Half-Life 2,19.59,,,,,,,,,,,
Player 5,0,,,,,,0,35,0,40,0.0,10.0,Rise of Tomb Raider,15.26,NAO,Indiferente,,,,,,,,,
Player 1,0,,,,,,30,15,15,15,1.5,1.5,Rise of Tomb Raider,21.22,NAO,Indiferente,,,,,,,,,
Player 44,0,,,,,,0,30,0,30,0.0,10.0,Rise of Tomb Raider,21.48,NAO,Indiferente,,,,,,,,,
Player 3,2,3.0,49.0,15.0,37.0,32.0,125,25,25,0,2.5,2.5,Half-Life 2,17.57,,,,,,,,,,,
Player 81,0,,,,,,30,0,12,0,5.0,0.0,Spelunky,11.2,NAO,Indiferente,,,,,,,,,
Player 3,2,3.0,37.0,15.0,8.0,9.0,125,0,20,0,3.0,0.0,Half-Life 2,18.05,,,,,,,,,,,
Player 1,1,3.0,39.0,14.0,9.0,9.0,0,125,0,15,0.0,2.5,Half-Life 2,14.24,,,,,,,,,,,
Player 74,2,,,,,,25,30,25,25,0.0,3.0,Rise of Tomb Raider,13.53,NAO,Indiferente,,,,,,,,,
Player 1,1,3.0,78.0,57.0,8.0,8.0,150,25,0,15,1.5,1.5,Half-Life 2,13.52,,,,,,,,,,,
Player 3,5,3.0,37.0,13.0,9.0,9.0,50,0,5,0,2.0,0.0,Half-Life 2,16.25,,,,,,,,,,,
Player 37,3,3.0,38.0,13.0,10.0,10.0,0,50,0,10,0.0,2.0,Half-Life 2,09.3,SIM,Feliz,53.0,F,Farmácia,8.0,1080p,60.0,Nenhum,0.0,Mouse e Manete
Player 60,3,4.0,26.0,13.0,8.0,8.0,125,50,15,20,2.5,2.5,Spelunky,16.6,SIM,Indiferente,21.0,M,Sistemas de Informação,8.0,1080p,75.0,Nenhum,0.0,Mouse e Manete e Celular
Player 1 neiva,6,4.0,27.0,15.0,8.0,9.0,50,100,0,5,0.0,0.0,Spelunky,,SIM,Triste,23.0,M,Sistemas de Informação,-1.0,-1080p,60.0,Nenhum,0.0,Mouse
Player 1,5,,,,,,10,0,0,0,2.5,0.0,Rise of Tomb Raider,20.09,SIM,Indiferente,,,,,,,,,
Player 62,3,4.0,23.0,13.0,12.0,11.0,125,50,20,5,1.5,1.5,Half-Life 2,16.4,SIM,Feliz,20.0,M,Sistemas de Informação,4.0,1080p,75.0,Nenhum,0.0,Mouse
Player 28,5,3.0,28.0,16.0,9.0,9.0,0,25,0,20,0.0,3.0,Spelunky,16.4,SIM,Indiferente,22.0,M,Ciências da Computação,6.0,1080p,60.0,Nenhum,0.0,Mouse e Manete
Player 5,5,,,,,,0,25,0,0,0.0,3.0,Rise of Tomb Raider,13.19,SIM,Indiferente,,,,,,,,,
Player 5,0,,,,,,0,35,0,40,0.0,10.0,Rise of Tomb Raider,15.21,NAO,Indiferente,,,,,,,,,
Player 81,1,,,,,,28,0,12,0,4.0,0.0,Spelunky,13.54,NAO,Indiferente,,,,,,,,,
Player 74,4,,,,,,0,0,0,0,10.0,0.0,Rise of Tomb Raider,16.42,SIM,Triste,,,,,,,,,
Player 74,6,,,,,,0,10,0,0,0.0,3.0,Rise of Tomb Raider,16.32,SIM,Indiferente,,,,,,,,,
Player 1,5,3.0,50.0,32.0,9.0,9.0,125,125,20,15,0.0,0.0,Spelunky,15.22,,,,,,,,,,,
Player 1,6,3.0,74.0,33.0,23.0,20.0,125,0,10,0,0.0,0.0,Half-Life 2,16.17,,,,,,,,,,,
Player 1,6,4.0,58.0,56.0,9.0,9.0,25,25,10,20,0.5,0.5,Spelunky,14.59,,,,,,,,,,,
Player 5,2,3.0,44.0,15.0,11.0,10.0,0,75,0,0,0.0,1.0,Half-Life 2,16.35,,,,,,,,,,,
Player 3,2,3.0,36.0,14.0,8.0,9.0,0,50,0,10,0.0,1.0,Half-Life 2,19.10,,,,,,,,,,,
Player 74,0,,,,,,25,0,20,0,10.0,0.0,Rise of Tomb Raider,14.39,NAO,Indiferente,,,,,,,,,
Player 1,4,3.0,48.0,14.0,33.0,29.0,0,25,0,15,0.0,1.0,Half-Life 2,17.20,,,,,,,,,,,
Player 3,2,3.0,35.0,14.0,8.0,8.0,125,0,25,0,2.0,0.0,Half-Life 2,17.13,,,,,,,,,,,
Player 1,4,3.0,72.0,57.0,31.0,27.0,50,0,10,0,0.5,0.0,Half-Life 2,14.25,,,,,,,,,,,
Player 5,3,3.0,38.0,14.0,9.0,9.0,0,50,0,5,0.0,2.5,Half-Life 2,17.22,,,,,,,,,,,
Player 66,3,4.0,15.0,17.0,6.0,8.0,150,0,10,0,2.5,0.0,Spelunky,14.3,NAO,Triste,21.0,N,Ciências da Computação,4.0,1080p,60.0,Nenhum,0.0,Mouse
Player 44,6,,,,,,0,0,0,0,0.0,2.5,Rise of Tomb Raider,15.09,SIM,Indiferente,,,,,,,,,
Player 1,2,3.0,34.0,14.0,8.0,9.0,100,100,15,10,3.0,3.0,Half-Life 2,17.24,,,,,,,,,,,
Player 1,4,3.0,60.0,17.0,24.0,21.0,0,50,0,10,0.0,3.0,Half-Life 2,21.49,,,,,,,,,,,
Player 3,3,3.0,39.0,14.0,9.0,9.0,0,75,0,25,0.0,2.5,Half-Life 2,19.40,,,,,,,,,,,
Player 44,4,,,,,,15,20,10,5,2.0,2.0,Rise of Tomb Raider,13.44,SIM,Indiferente,,,,,,,,,
Player 3,2,3.0,47.0,16.0,8.0,9.0,150,100,10,10,3.0,3.0,Half-Life 2,19.30,,,,,,,,,,,
Player 1,5,3.0,25.0,14.0,8.0,8.0,100,0,15,0,1.5,0.0,Spelunky,14.04,,,,,,,,,,,
